id,difficulty,text,current_concepts,suggested_concepts,changed
"2c6b3275-8752-43e5-a3f0-75baf24a93f9","Advanced","Obwohl die lateinische Sprache oft fälschlicherweise als tot bezeichnet wird, bildet sie dennoch das unentbehrliche grammatikalische und etymologische Fundament, auf dem die romanischen Sprachen sowie ein beträchtlicher Teil des wissenschaftlichen Vokabulars der westlichen Welt basieren.","case-accusative | case-genitive | subordinate-clauses","subordinate-clauses | verb-tenses","YES"
"0f33fe19-020a-4e08-b139-e0d218def7c9","Advanced","Er sagt, dass er den Arzt um eine Klarstellung bezüglich der Nuance der Diagnose seiner Schwester bitten muss.","case-accusative | case-genitive | modal-verbs | subordinate-clauses","case-accusative | case-genitive | modal-verbs | subordinate-clauses","no"
"4e8d5939-205a-4148-858a-f2f90dde1e5b","Advanced","Ich habe mein Zimmer heute schon aufgeräumt, was eine bemerkenswerte Veränderung gegenüber meiner üblichen Routine ist.","adjective-declension | case-accusative | subordinate-clauses","subordinate-clauses | verb-tenses","YES"
"7bb23d88-0a5e-4cf3-b676-2a322173875b","Advanced","Wenn ich reich wäre, würde ich das große Haus kaufen und jemanden einstellen, der mir jede sprachliche Nuance erklärt.","case-dative | konjunktiv-ii | subordinate-clauses","konjunktiv-ii | modal-verbs | subordinate-clauses","YES"
"c816ec9d-a2b2-43ab-81dc-6dc6468930f0","Advanced","Ihr wird von ihrem Freund geholfen, weil die Anweisungen für das Projekt widersprüchlich waren.","case-accusative | case-dative | passive-voice | subordinate-clauses","passive-voice | subordinate-clauses | verb-tenses","YES"
"46e95638-e8ce-4177-94da-571646a413cc","Advanced","Du solltest die Schlüssel nicht auf den Tisch legen, ohne eine Klarstellung darüber abzugeben, wo sie hingehören.","accusative-preps | modal-verbs | negation | subordinate-clauses","modal-verbs | negation | subordinate-clauses | verb-tenses","YES"
"d346aedd-92da-428d-acab-09e0df41bd60","Advanced","Ohne einen Mantel ist es draußen zu kalt, was widersprüchlich erscheint, da es vor einer Stunde noch warm war.","case-accusative | subordinate-clauses | verb-second","subordinate-clauses | verb-second","YES"
"df2ecef8-ad59-4fd8-9961-7114072cd674","Advanced","Wenn ich mehr Zeit hätte, würde ich jeden Tag Deutsch lernen.","konjunktiv-ii | subordinate-clauses | verb-tenses","konjunktiv-ii | modal-verbs | subordinate-clauses","YES"
"f37eba10-255a-4080-8679-3bf36044a334","Advanced","Wenn er das Buch auf den Schreibtisch legen würde, könnten wir es leichter finden.","modal-verbs | subordinate-clauses | verb-tenses","konjunktiv-ii | modal-verbs | subordinate-clauses","YES"
"e5d03ef7-ede7-46fb-8d2c-35110a9787b7","Advanced","Nachdem der neue Mitarbeiter den wichtigen Vertrag unterschrieben hatte, schickte er ihn an die zuständige Abteilung.","case-accusative | subordinate-clauses | verb-second","subordinate-clauses | verb-tenses","YES"
